Street Address,County Name,City,Store Name,State,Zip_Code,Ownership Type
110 Columbus Drive,MOORE,ABERDEEN,"Aberdeen, NC",NC,28315,Company Owned
750 W Williams St,WAKE,APEX,Harris Teeter-Apex #58,NC,27502,Licensed
1201 Beaver Creek Commons Dr,WAKE,APEX,Super Target Apex ST-1932,NC,27502,Licensed
940 US Hwy 64,WAKE,APEX,Kroger-Apex #357,NC,27523,Licensed
15 McKenna Rd,BUNCOMBE,ARDEN,Target Asheville T-2011,NC,28704,Licensed
301 Long Shoals Rd,BUNCOMBE,ARDEN,Ingles-Arden #130,NC,28704,Licensed
115 River Hills Rd,BUNCOMBE,ASHEVILLE,Target Asheville T-1807,NC,28805,Licensed
29 Tunnel Rd,BUNCOMBE,ASHEVILLE,Ingles-Asheville #7,NC,28805,Licensed
1141 Tunnel Rd,BUNCOMBE,ASHEVILLE,Ingles-Asheville #4,NC,28805,Licensed
3 S Tunnel Road,BUNCOMBE,ASHEVILLE,Asheville Mall,NC,28805,Company Owned
"26 Carl Alwin Place, 10",BUNCOMBE,ASHEVILLE,Long Shoals Rd & I-26,NC,28803,Company Owned
1865 Hendersonville Rd,BUNCOMBE,ASHEVILLE,Ingles-Asheville #30,NC,28803,Licensed
"40 All Souls Crescent Street, Biltmore Village Center",BUNCOMBE,ASHEVILLE,Biltmore Village,NC,28803,Company Owned
1378 Hendersonville Road,BUNCOMBE,ASHEVILLE,Parkway Centre,NC,28803,Company Owned
915 Merrimon Ave,BUNCOMBE,ASHEVILLE,Ingles-Asheville#3,NC,28804,Licensed
575 New Leicester Hwy,BUNCOMBE,ASHEVILLE,Ingles-Asheville #62,NC,28806,Licensed
863 BREVARD RD.,BUNCOMBE,ASHEVILLE,Ingles Asheville 24,NC,28806,Licensed
"800 Brevard Road, N109",BUNCOMBE,ASHEVILLE,Asheville Outlets,NC,28806,Company Owned
62 Charlotte Street,BUNCOMBE,ASHEVILLE,Charlotte St.,NC,28801,Company Owned
550 HIGHWAY 9,BUNCOMBE,BLACK MOUNTAIN,Ingles-Black Mountain #8,NC,28711,Licensed
240 Shadowline Dr,WATAUGA,BOONE,Harris Teeter-Boone #165,NC,28607,Licensed
710 N Broad St,TRANSYLVANIA,BREVARD,Ingles-Brevard #67,NC,28712,Licensed
113 Main St,HARNETT,BUIES CREEK,Campbell University - Wiggins Hall,NC,27506,Licensed
2727 S Church St,ALAMANCE,BURLINGTON,Harris Teeter-Burlington # 345,NC,27215,Licensed
"1475 University Dr, Colonial Mall",ALAMANCE,BURLINGTON,Target Burlington T-2037,NC,27215,Licensed
"451 Huffman Mill Road, University Commons",ALAMANCE,BURLINGTON,Burlington Mall,NC,27215,Company Owned
"1447 ""A"" University Drive",ALAMANCE,BURLINGTON,University Commons,NC,27215,Company Owned
400 E US Highway 19 E Byp,YANCEY,BURNSVILLE,Ingles-East Burnsville #13,NC,28714,Licensed
1231 Birch St,ONSLOW,CAMP LEJEUNE,Camp Lejeune - Main Exchange,NC,28547,Licensed
1572 Sand Hill Rd,BUNCOMBE,CANDLER,Ingles Candler # 134,NC,28715,Licensed
630 Champion Dr,HAYWOOD,CANTON,Ingles-Canton #55,NC,28716,Licensed
3430 Ten Ten Rd,WAKE,CARY,Harris Teeter Cary 331,NC,27518,Licensed
2080 Kildaire Farm Rd,WAKE,CARY,Harris Teeter Cary #257,NC,27518,Licensed
1151 TRYON VILLAGE DRIVE,WAKE,CARY,Harris Teeter-Cary # 330,NC,27518,Licensed
"8204 Tryon Woods Dr, Suite 120, Northwoods Center",WAKE,CARY,Tryon Village,NC,27518,Company Owned
"1107 Walnut Street, Suite 102, Kildaire Plaza",WAKE,CARY,Cary Towne Center,NC,27511,Company Owned
"1217 Kildaire Farm Road, The Arboretum",WAKE,CARY,Cary Central,NC,27511,Company Owned
"885 Walnut St, Tryon Village",WAKE,CARY,Harris Teeter - Cary #430,NC,27511,Licensed
"204 Crossroads Blvd, Suite 200",WAKE,CARY,Crossroads Blvd & Caitboo Ave,NC,27511,Company Owned
125 Weston Parkway,WAKE,CARY,Weston Parkway,NC,27513,Company Owned
1904 Northwest Maynard Road,WAKE,CARY,Evans Road,NC,27513,Company Owned
270 GRANDE HEIGHTS DR.,WAKE,CARY,Harris Teeter Cary 112,NC,27513,Licensed
7145 O'Kelly Chapel Rd,WAKE,CARY,Harris Teeter - Cary # 236,NC,27519,Licensed
1150 Green Level to Durham Rd,WAKE,CARY,Harris Teeter-Cary #298,NC,27519,Licensed
1015 Parkside Main St,WAKE,CARY,Parkside Towne Center,NC,27519,Company Owned
"7129 O'Kelly Chapel Road, High House Shops",WAKE,CARY,Target Cary T-2784,NC,27519,Licensed
2840 NC Highway 55,WAKE,CARY,High House Road,NC,27519,Company Owned
98 Cornerstone Dr,WAKE,CARY,Harris Teeter-Cary #138,NC,27519,Licensed
230 US 64 E,JACKSON,CASHIERS,Ingles Cashiers # 110,NC,28717,Licensed
101 Manning Dr,ORANGE,CHAPEL HILL,UNC Hospital,NC,27514,Licensed
"104 Ridge Rd, Eastgate Shopping Center",ORANGE,CHAPEL HILL,UNC at Chapel Hill - Rams Head Cent,NC,27514,Licensed
"1800 E Franklin Street, Suite B",ORANGE,CHAPEL HILL,Eastgate - Chapel Hill,NC,27514,Company Owned
2110  S Estes Dr,ORANGE,CHAPEL HILL,Harris Teeter-Chapel Hill #117,NC,27514,Licensed
103 East Franklin Street,ORANGE,CHAPEL HILL,Franklin Street,NC,27514,Company Owned
